classe,fichier,contraste,bords,couleur,verdict
Fighter,2xko_343.jpg,45.4,14.42,41.0,garde
Fighter,2xko_344.jpg,47.1,14.37,43.3,garde
Fighter,2xko_345.jpg,47.9,13.24,44.1,garde
Fighter,2xko_346.jpg,44.7,13.19,44.6,garde
Fighter,2xko_347.jpg,38.6,16.29,55.8,garde
Fighter,2xko_348.jpg,47.4,12.91,42.4,garde
Fighter,2xko_349.jpg,43.9,13.14,44.0,garde
Fighter,2xko_350.jpg,45.1,13.54,56.8,garde
Fighter,2xko_351.jpg,45.3,13.16,44.4,garde
Fighter,2xko_352.jpg,46.7,13.17,45.9,garde
Fighter,2xko_353.jpg,47.9,14.15,42.0,garde
Fighter,2xko_354.jpg,46.8,15.79,52.4,garde
Fighter,2xko_355.jpg,45.5,12.96,42.3,garde
Fighter,2xko_356.jpg,45.3,13.47,57.4,garde
Fighter,2xko_357.jpg,48.2,16.00,61.9,garde
Fighter,2xko_358.jpg,46.0,13.56,43.0,garde
Fighter,2xko_359.jpg,45.9,14.16,44.1,garde
Fighter,2xko_360.jpg,44.4,13.29,45.4,garde
Fighter,2xko_361.jpg,43.5,13.93,44.0,doublon (dHash)
Fighter,2xko_362.jpg,42.6,14.72,44.8,garde
Fighter,2xko_363.jpg,47.1,13.83,45.1,garde
Fighter,2xko_364.jpg,47.1,14.86,50.8,garde
Fighter,2xko_365.jpg,47.1,14.80,45.5,garde
Fighter,2xko_366.jpg,60.7,18.66,53.8,garde
Fighter,2xko_367.jpg,47.4,14.78,43.5,garde
Fighter,2xko_368.jpg,47.5,12.70,39.9,garde
Fighter,2xko_369.jpg,50.7,19.50,53.5,garde
Fighter,2xko_370.jpg,44.3,15.48,41.4,garde
Fighter,2xko_371.jpg,46.7,13.56,41.2,garde
Fighter,2xko_372.jpg,44.4,13.60,47.5,garde
Fighter,2xko_373.jpg,47.0,13.10,40.7,garde
Fighter,2xko_374.jpg,44.1,13.25,37.1,garde
Fighter,2xko_375.jpg,43.7,14.57,41.7,garde
Fighter,2xko_376.jpg,40.6,13.90,40.3,garde
Fighter,2xko_377.jpg,44.2,12.89,54.8,garde
Fighter,2xko_378.jpg,50.7,18.62,58.2,garde
Fighter,2xko_379.jpg,44.7,13.81,39.4,garde
Fighter,2xko_380.jpg,45.3,15.10,44.4,garde
Fighter,2xko_381.jpg,37.4,15.97,40.4,garde
Fighter,2xko_382.jpg,39.7,16.08,40.8,garde
Fighter,2xko_383.jpg,43.8,14.85,40.6,garde
Fighter,2xko_384.jpg,43.4,16.15,42.2,garde
Fighter,2xko_385.jpg,45.0,16.55,44.2,garde
Fighter,2xko_386.jpg,44.5,16.38,35.0,garde
Fighter,2xko_387.jpg,48.1,14.45,46.0,garde
Fighter,2xko_388.jpg,43.1,14.90,41.1,garde
Fighter,2xko_389.jpg,43.7,14.53,42.3,garde
Fighter,2xko_390.jpg,47.1,15.42,41.7,garde
Fighter,2xko_391.jpg,50.9,18.70,47.8,garde
Fighter,2xko_392.jpg,43.3,15.00,35.5,garde
Fighter,2xko_393.jpg,41.7,14.07,38.2,garde
Fighter,2xko_394.jpg,45.4,13.36,40.4,garde
Fighter,2xko_395.jpg,42.7,14.49,37.7,garde
Fighter,2xko_396.jpg,47.0,12.62,36.9,garde
Fighter,2xko_397.jpg,37.0,14.92,38.5,garde
Fighter,2xko_398.jpg,41.9,15.25,37.2,garde
Fighter,2xko_399.jpg,44.9,14.01,37.8,garde
Fighter,2xko_400.jpg,53.3,16.20,51.7,garde
Fighter,2xko_401.jpg,51.7,15.98,60.4,garde
Fighter,2xko_402.jpg,47.7,13.98,44.9,garde
Fighter,2xko_403.jpg,45.6,13.90,42.5,garde
Fighter,2xko_404.jpg,45.9,13.29,42.2,garde
Fighter,2xko_405.jpg,44.5,9.14,33.3,garde
Fighter,2xko_406.jpg,46.4,13.10,39.3,garde
Fighter,2xko_407.jpg,47.9,14.32,43.2,garde
Fighter,2xko_408.jpg,44.5,14.45,50.9,garde
Fighter,2xko_409.jpg,46.1,13.53,39.7,garde
Fighter,2xko_410.jpg,45.5,13.81,40.4,garde
Fighter,2xko_411.jpg,46.6,13.50,39.1,garde
Fighter,2xko_412.jpg,44.3,14.44,38.9,garde
Fighter,2xko_413.jpg,44.2,15.82,38.9,garde
Fighter,2xko_414.jpg,45.6,13.33,40.6,garde
Fighter,2xko_415.jpg,47.0,13.55,38.6,garde
Fighter,2xko_416.jpg,46.5,14.13,40.9,garde
Fighter,2xko_417.jpg,47.3,16.03,48.7,garde
Fighter,2xko_418.jpg,46.1,13.37,39.7,garde
Fighter,2xko_419.jpg,47.1,13.99,39.9,garde
Fighter,2xko_420.jpg,45.4,14.56,58.4,garde
Fighter,2xko_421.jpg,45.4,15.47,40.9,garde
Fighter,2xko_422.jpg,47.8,14.44,42.4,garde
Fighter,2xko_423.jpg,38.6,14.76,60.4,garde
Fighter,2xko_424.jpg,45.6,13.68,38.8,garde
Fighter,2xko_425.jpg,44.8,15.04,44.6,garde
Fighter,2xko_426.jpg,44.7,13.61,39.4,garde
Fighter,2xko_427.jpg,44.7,13.34,40.2,garde
Fighter,2xko_428.jpg,43.0,14.54,38.7,garde
Fighter,2xko_429.jpg,45.4,14.74,47.4,garde
Fighter,2xko_430.jpg,43.6,14.09,54.1,garde
Fighter,2xko_431.jpg,71.0,16.43,33.9,garde
Fighter,2xko_432.jpg,46.5,14.59,40.9,garde
Fighter,2xko_433.jpg,46.0,14.91,40.7,garde
Fighter,2xko_434.jpg,46.8,14.44,40.7,garde
Fighter,2xko_435.jpg,45.8,15.48,43.0,garde
Fighter,2xko_436.jpg,68.3,14.39,40.2,garde
Fighter,2xko_437.jpg,46.6,15.27,45.3,garde
Fighter,2xko_438.jpg,46.7,14.18,45.5,garde
Fighter,2xko_439.jpg,45.4,13.88,45.5,garde
Fighter,2xko_440.jpg,48.0,16.89,46.5,garde
Fighter,2xko_441.jpg,44.1,13.99,44.2,garde
Fighter,2xko_442.jpg,43.7,15.07,44.3,garde
Fighter,2xko_443.jpg,44.7,15.24,45.0,garde
Fighter,2xko_444.jpg,57.4,18.01,62.4,garde
Fighter,2xko_445.jpg,45.5,15.75,45.0,garde
Fighter,2xko_446.jpg,43.6,13.48,41.8,garde
Fighter,2xko_447.jpg,53.4,19.76,61.6,garde
Fighter,2xko_448.jpg,43.2,15.18,44.2,garde
Fighter,2xko_449.jpg,41.1,14.96,43.7,garde
Fighter,2xko_450.jpg,42.6,14.91,37.2,garde
Fighter,2xko_451.jpg,40.8,16.34,42.5,garde
Fighter,2xko_452.jpg,38.9,15.60,42.7,garde
