modele,config,variant,acc_train,acc_test,duree_s
mlp,cachee=aucune,1,0.5579166666666666,0.5416666666666666,3840.5
mlp,cachee=aucune,2,0.3375,0.335,174.2
mlp,cachee=32,1,0.8835416666666667,0.7708333333333334,247.6
mlp,cachee=32,2,0.8772916666666667,0.7716666666666666,193.7
mlp,cachee=128,1,0.921875,0.7691666666666667,508.8
mlp,cachee=128,2,0.9333333333333333,0.78,431.1
mlp,cachee=256,1,0.629375,0.5575,762.5
mlp,cachee=256,2,0.911875,0.7608333333333334,768.5
mlp,cachee=128+64,1,0.9264583333333334,0.7625,19388.9
mlp,cachee=128+64,2,0.9066666666666666,0.7466666666666667,435.7
rbf,centres=10 gamma=0.01,1,0.5558333333333333,0.5608333333333333,149.3
rbf,centres=50 gamma=0.01,1,0.705625,0.6966666666666667,184.1
rbf,centres=150 gamma=0.01,1,0.805625,0.7791666666666667,228.7
rbf,centres=300 gamma=0.01,1,0.8558333333333333,0.8208333333333333,334.9
rbf,centres=150 gamma=0.001,1,0.8458333333333333,0.805,12026.2
rbf,centres=150 gamma=0.01,1,0.8083333333333333,0.7566666666666667,311.2
rbf,centres=150 gamma=0.1,1,0.5429166666666667,0.5025,211.9
svm,lambda=0.0001,1,0.9975,0.8858333333333334,72.7
svm,lambda=0.001,1,0.97375,0.8841666666666667,85.9
svm,lambda=0.01,1,0.7589583333333333,0.7158333333333333,84.5
svm,lambda=0.1,1,0.5089583333333333,0.485,82.3
