etude,valeur,classe,norme_W,marge_2_sur_W,nb_vecteurs_supports,pct_vecteurs_supports,hinge_finale,acc_train,acc_test
lambda,0.0001,Fighter,13.2837,0.1506,93,0.0194,0.007691,0.9977083333333333,0.8841666666666667
lambda,0.0001,Platformer,17.8062,0.1123,365,0.076,0.037709,0.9977083333333333,0.8841666666666667
lambda,0.0001,Racing,14.2602,0.1403,177,0.0369,0.013981,0.9977083333333333,0.8841666666666667
lambda,0.001,Fighter,7.4464,0.2686,579,0.1206,0.067531,0.9758333333333333,0.8883333333333333
lambda,0.001,Platformer,8.9819,0.2227,1180,0.2458,0.145465,0.9758333333333333,0.8883333333333333
lambda,0.001,Racing,7.9254,0.2524,661,0.1377,0.084092,0.9758333333333333,0.8883333333333333
lambda,0.01,Fighter,2.9954,0.6677,1591,0.3315,0.215025,0.794375,0.7491666666666666
lambda,0.01,Platformer,3.1264,0.6397,2937,0.6119,0.360352,0.794375,0.7491666666666666
lambda,0.01,Racing,3.0874,0.6478,1511,0.3148,0.253067,0.794375,0.7491666666666666
lambda,0.1,Fighter,1.0668,1.8748,2393,0.4985,0.458713,0.5283333333333333,0.5
lambda,0.1,Platformer,0.8622,2.3196,3749,0.781,0.603921,0.5283333333333333,0.5
lambda,0.1,Racing,0.9471,2.1118,1900,0.3958,0.495745,0.5283333333333333,0.5
lambda,1.0,Fighter,0.2132,9.3825,1896,0.395,0.721316,0.335625,0.33416666666666667
lambda,1.0,Platformer,0.1833,10.9118,4421,0.921,0.750222,0.335625,0.33416666666666667
lambda,1.0,Racing,0.2697,7.4162,1830,0.3812,0.704139,0.335625,0.33416666666666667
learning_rate,0.0001,(3 classes),,,,,,,0.8833333333333333
learning_rate,0.001,(3 classes),,,,,,,0.8875
learning_rate,0.01,(3 classes),,,,,,,0.8291666666666667
